id,created_at,text,retweet_count,favorite_count
977885000000000000,25-03-2018 12:28,"b'Suggestions for #MannKiBaat are characterised by diversity, be it the nature of thoughts shared or the location of\xe2\x80\xa6 https://t.co/NBozCcMo6A'",1644,6874
,,,,
977884000000000000,25-03-2018 12:26,"b'New India is Dr. Ambedkar\xe2\x80\x99s India.\n\nBy focussing on self-reliance, creating better cities, strengthening agricultur\xe2\x80\xa6 https://t.co/s5ldFXN1Kv'",1859,7772
,,,,
977884000000000000,25-03-2018 12:25,"b'In less than a hundred days, the world will mark the #4thYogaDay. I urge you all to think about ways to make this y\xe2\x80\xa6 https://t.co/FVAH9KrMzG'",3392,15484
,,,,
977884000000000000,25-03-2018 12:24,b'Making healthcare accessible and affordable. #MannKiBaat https://t.co/xYnIL2Pvlw',1248,4781
,,,,
977856000000000000,25-03-2018 10:33,"b'This year marks the start of #Bapu150. I want to hear from you all, on how we can mark Gandhi Ji\xe2\x80\x99s 150th birth anni\xe2\x80\xa6 https://t.co/NnAZXJHums'",1863,9154
,,,,
977855000000000000,25-03-2018 10:31,"b'Our country is home to several festivals. Greetings to people across India for various upcoming festivals, many of\xe2\x80\xa6 https://t.co/ggzfjS8zRP'",1597,6951
,,,,
977855000000000000,25-03-2018 10:30,b'Spoke on a topic many farmers from all over India wanted me to address- the Government\xe2\x80\x99s decision on MSP that benef\xe2\x80\xa6 https://t.co/LHhhx9LOwi',1310,5058
,,,,
977855000000000000,25-03-2018 10:30,b'The farmers of Meghalaya merit the attention and applause of the entire nation. Here is why. #MannKiBaat https://t.co/a9URkgNK5K',1223,4797
,,,,
977855000000000000,25-03-2018 10:29,"b'Here is today\xe2\x80\x99s #MannKiBaat programme, where I spoke about ways in which the lives of our farmers are being transfo\xe2\x80\xa6 https://t.co/zlrzQT1Kk7'",1448,5355
,,,,
977834000000000000,25-03-2018 09:07,"b'Amazed at the creativity of a few youngsters, who made 3D animated videos of me practising Yoga! Sharing one such v\xe2\x80\xa6 https://t.co/iDcyjwH8Op'",4185,15855
,,,,
977833000000000000,25-03-2018 09:03,"b'A healthy India is the cornerstone of a developed India. In that spirit, let us make #FitIndia a full-fledged mass\xe2\x80\xa6 https://t.co/aloP6a8TfB'",2992,12447
,,,,
977775000000000000,25-03-2018 05:10,b'#MannKiBaat begins shortly. You can hear it live. https://t.co/FT9rjXtMni',1487,7072
,,,,
